"zip","lat","lon","city","abr","county","type"
22152,38.78,-77.23,"SPRINGFIELD","VA","FAIRFAX","STANDARD"
22153,38.76,-77.18,"SPRINGFIELD","VA","FAIRFAX","STANDARD"
22156,38.83,-77.29,"SPRINGFIELD","VA","FAIRFAX","UNIQUE"
22158,38.83,-77.29,"SPRINGFIELD","VA","FAIRFAX","UNIQUE"
22159,38.83,-77.29,"SPRINGFIELD","VA","FAIRFAX","UNIQUE"
22160,38.83,-77.29,"SPRINGFIELD","VA","FAIRFAX","UNIQUE"
22161,38.81,-77.22,"SPRINGFIELD","VA","FAIRFAX","UNIQUE"
22172,38.58,-77.37,"TRIANGLE","VA","PRINCE WILLIAM","STANDARD"
22180,38.9,-77.25,"VIENNA","VA","FAIRFAX","STANDARD"
22181,38.91,-77.3,"VIENNA","VA","FAIRFAX","STANDARD"
22182,38.94,-77.27,"VIENNA","VA","FAIRFAX","STANDARD"
22183,38.83,-77.29,"VIENNA","VA","FAIRFAX","STANDARD"
22184,38.83,-77.29,"VIENNA","VA","FAIRFAX","UNIQUE"
22185,38.83,-77.29,"VIENNA","VA","FAIRFAX","UNIQUE"
22191,38.63,-77.27,"WOODBRIDGE","VA","PRINCE WILLIAM","STANDARD"
22192,38.68,-77.32,"WOODBRIDGE","VA","PRINCE WILLIAM","STANDARD"
22193,38.64,-77.35,"WOODBRIDGE","VA","PRINCE WILLIAM","STANDARD"
22194,38.72,-77.47,"WOODBRIDGE","VA","PRINCE WILLIAM","STANDARD"
22195,38.72,-77.47,"WOODBRIDGE","VA","PRINCE WILLIAM","STANDARD"
22199,38.83,-77.29,"LORTON","VA","FAIRFAX","STANDARD"
22201,38.89,-77.1,"ARLINGTON","VA","ARLINGTON","STANDARD"
22202,38.85,-77.06,"ARLINGTON","VA","ARLINGTON","STANDARD"
22203,38.87,-77.12,"ARLINGTON","VA","ARLINGTON","STANDARD"
22204,38.86,-77.1,"ARLINGTON","VA","ARLINGTON","STANDARD"
